"";"cluster";"x";"y";"entity";"entity_type";"size";"color"
"4179";12;-15,878105;-28,878368;"РЫБНИКОВ СЕРГЕЙ ИГОРЕВИЧ";"author";1;"#A020F0"
"4180";10;1,896379;17,088432;"ЛУНЕВА СВЕТЛАНА ЮРЬЕВНА";"author";1;"#E100A5"
"4181";38;-19,278767;43,46084;"КРУПНИК Е.Я.";"author";1;"#BA9705"
"4182";36;-25,068798;-39,54276;"КРАПИВЕНКО АНДРЕЙ ВИКТОРОВИЧ";"author";1;"#BAFA01"
"4183";35;32,6035;-47,93817;"КЛЫПИН А.А.";"author";1;"#BAC983"
"4184";32;36,74976;-19,276834;"ДЬЯЧКОВ ВЛАДИМИР ВИКТОРОВИЧ";"author";1;"#BAE753"
"4185";17;60,911034;16,19737;"ВОРОБЬЁВА С.С.";"author";1;"#BB425B"
"4186";12;-16,296638;-30,85898;"КУРШИН АНДРЕЙ ВЛАДИМИРОВИЧ";"author";1;"#A020F0"
"4187";7;28,935078;-52,838116;"РОДЧЕНКОВА В.";"author";1;"#E19239"
"4188";4;-23,654493;-56,090565;"ПАРАМОНОВ ИГОРЬ ВИКТОРОВИЧ";"author";1;"#E10291"
"4189";28;26,677229;14,405194;"ГОРБАЧЕВ ЮРИЙ ВАСИЛЬЕВИЧ";"author";1;"#BB3739"
"4190";47;-53,727665;-2,5366635;"СОМОВ МИХАИЛ ВЛАДИМИРОВИЧ";"author";1;"#BA671F"
"4191";47;-55,107838;-3,0307717;"СОЛНЦЕВ ВИТАЛИЙ ИГОРЕВИЧ";"author";1;"#BA671F"
"4192";16;14,933342;-11,44673;"МАТУШКИН А.А.";"author";1;"#BBFD30"
"4193";24;-50,296673;-34,856163;"ВИЕРУ Б.Г.";"author";1;"#BB248B"
"4194";24;-50,296673;-34,856163;"ОЧКОВ А.А.";"author";1;"#BB248B"
"4195";2;20,78473;24,463528;"СТИЦЕНКО А.Н.";"author";1;"#0088AE"
"4196";0;-33,189507;30,257357;"ГАВРИЛОВА НИНА ЮРЬЕВНА";"author";1;"#D01702"
"4197";49;-40,91528;17,367628;"ПАЩЕНКО ОЛЕГ БОРИСОВИЧ";"author";1;"#BADDC8"
"4198";27;-12,09147;34,600304;"ЛЫСАКОВ Н.Д.";"author";1;"#BB06BB"
"4199";25;24,004244;-39,88888;"СИРОТКИН И.А.";"author";1;"#BB68B6"
"4200";32;25,071356;-20,110704;"ИВКИН Е.И.";"author";1;"#BAE753"
"4201";16;15,170969;-11,972808;"КРЫЛОВ НИКОЛАЙ ВАЛЕРЬЕВИЧ";"author";1;"#BBFD30"
"4202";21;16,004118;38,98281;"КОЗЛОВА О.В.";"author";1;"#BB5509"
"4203";6;-1,4098574;23,920296;"САЗОНОВА М.В.";"author";1;"#00A5E1"
"4204";1;14,654699;-33,79672;"МИЛОСЕРДОВ М.С.";"author";1;"#54BD01"
"4205";42;1,308731;54,60376;"СЫТНИК ВЕРОНИКА МИХАЙЛОВНА";"author";1;"#BAABB3"
"4206";36;-26,033203;-34,299366;"ЛЕ ДЫК ТИЕП";"author";1;"#BAFA01"
"4207";31;4,579371;-49,831757;"ЛАРИНА ЕЛЕНА ВЛАДИМИРОВНА";"author";1;"#BAB5D5"
"4208";28;19,581608;3,0988824;"ДМИТРАКОВ ИГНАТИЙ ФИЛИППОВИЧ";"author";1;"#BB3739"
"4209";32;25,272902;-25,337685;"ГАВВА ЛЮБОВЬ МИХАЙЛОВНА";"author";1;"#BAE753"
"4210";9;42,57436;1,532872;"НГУЕН ЛЕ ЗУНГ ";"author";1;"#008080"
"4211";41;-22,300894;-18,936401;"ЛЫГИНА ИРИНА ЮРЬЕВНА";"author";1;"#BA52DA"
"4212";41;-22,300991;-18,935976;"ГРУБРИН ИГОРЬ ВАЛЕРЬЕВИЧ";"author";1;"#BA52DA"
"4213";27;-11,648766;34,331886;"ПЕРКОВА Е.П.";"author";1;"#BB06BB"
"4214";25;20,082663;-40,561604;"ШТОК К.В.";"author";1;"#BB68B6"
"4215";9;44,029236;2,3291008;"ВОЙНИЦКИЙ СТАНИСЛАВ ОЛЕГОВИЧ";"author";1;"#008080"
"4216";44;-16,841976;-46,29415;"КРАСИЛЬНИКОВ П.С.";"author";1;"#BA215C"
"4217";44;-11,048878;-43,80504;"НАРТИКОЕВ ПАВЕЛ СЕРГЕЕВИЧ";"author";1;"#BA215C"
"4218";5;46,085484;-23,451008;"АЛЫШЕВА М.П.";"author";1;"#00E1E1"
"4219";36;-34,731518;-35,402916;"ЧАЙКА ЮРИЙ ВЛАДИМИРОВИЧ";"author";1;"#BAFA01"
