"";"cluster";"x";"y";"entity";"entity_type";"size";"color";"display"
"83";14;54,223007;36,376278;"activation_circuit";"ngram";1;"#008000";"ACTIVATION CIRCUIT"
"84";35;-37,258686;-31,743807;"activation_member";"ngram";1;"#BAC983";"ACTIVATION MEMBER"
"85";17;-52,92318;-1,0510678;"active_actuator";"ngram";1;"#BB425B";"ACTIVE ACTUATOR"
"86";29;33,083473;59,546837;"active_antenna_array";"ngram";1;"#BB7C64";"ACTIVE ANTENNA ARRAY"
"87";13;-56,198162;-58,44286;"active_clearance_control_system";"ngram";1;"#C0C0C0";"ACTIVE CLEARANCE CONTROL SYSTEM"
"88";46;50,753098;51,18899;"active_filter";"ngram";1;"#BA22F4";"ACTIVE FILTER"
"89";5;-61,685646;19,813856;"active_flow_control";"ngram";1;"#00E1E1";"ACTIVE FLOW CONTROL"
"90";39;49,205334;27,919825;"active_front_end";"ngram";1;"#BADC31";"ACTIVE FRONT END"
"91";14;56,280827;34,174328;"active_load";"ngram";1;"#008000";"ACTIVE LOAD"
"92";3;65,02373;-0,83621854;"active_semiconductor_region";"ngram";1;"#FC1B17";"ACTIVE SEMICONDUCTOR REGION"
"93";5;-59,36782;14,239489;"active_vibration_control";"ngram";1;"#00E1E1";"ACTIVE VIBRATION CONTROL"
"94";47;-33,186703;22,703423;"actual_acceleration";"ngram";1;"#BA671F";"ACTUAL ACCELERATION"
"95";41;-22,226263;42,766113;"actual_intrusion";"ngram";1;"#BA52DA";"ACTUAL INTRUSION"
"96";1;-1,5142443;51,454815;"actual_measure_value";"ngram";1;"#54BD01";"ACTUAL MEASURE VALUE"
"97";9;24,045044;56,391533;"actual_phase";"ngram";1;"#008080";"ACTUAL PHASE"
"98";8;-31,933979;-14,087324;"actuatable_lock_mechanism";"ngram";1;"#FF69B4";"ACTUATABLE LOCK MECHANISM"
"99";35;-40,115772;-30,609983;"actuate_member";"ngram";1;"#BAC983";"ACTUATE MEMBER"
"100";35;-32,494286;-20,163424;"actuating_rod";"ngram";1;"#BAC983";"ACTUATING ROD"
"101";35;-36,347034;-30,290367;"actuation_arm";"ngram";1;"#BAC983";"ACTUATION ARM"
"102";35;-40,00718;-32,451164;"actuation_arrangement";"ngram";1;"#BAC983";"ACTUATION ARRANGEMENT"
"103";35;-38,60406;-29,954662;"actuation_assembly";"ngram";1;"#BAC983";"ACTUATION ASSEMBLY"
"104";43;-37,224277;5,8326187;"actuation_control";"ngram";1;"#BAF0DE";"ACTUATION CONTROL"
"105";42;-52,368893;-27,440403;"actuation_cylinder";"ngram";1;"#BAABB3";"ACTUATION CYLINDER"
"106";8;-37,777187;-17,063305;"actuation_lever";"ngram";1;"#FF69B4";"ACTUATION LEVER"
"107";43;-37,25415;7,8434744;"actuation_method";"ngram";1;"#BAF0DE";"ACTUATION METHOD"
"108";43;-35,44178;10,162927;"actuation_mode";"ngram";1;"#BAF0DE";"ACTUATION MODE"
"109";43;-35,991276;7,79796;"actuation_module";"ngram";1;"#BAF0DE";"ACTUATION MODULE"
"110";8;-33,137444;-10,723459;"actuation_plate";"ngram";1;"#FF69B4";"ACTUATION PLATE"
"111";42;-51,126762;-28,191298;"actuation_ring";"ngram";1;"#BAABB3";"ACTUATION RING"
"112";35;-39,072937;-30,960922;"actuation_rod";"ngram";1;"#BAC983";"ACTUATION ROD"
"113";35;-30,491842;-21,144726;"actuation_section";"ngram";1;"#BAC983";"ACTUATION SECTION"
"114";17;-48,60618;-1,8948869;"actuator_component";"ngram";1;"#BB425B";"ACTUATOR COMPONENT"
"115";43;-38,286076;5,3199606;"actuator_control_system";"ngram";1;"#BAF0DE";"ACTUATOR CONTROL SYSTEM"
"116";35;-39,44641;-26,37029;"actuator_mechanism";"ngram";1;"#BAC983";"ACTUATOR MECHANISM"
"117";35;-40,203865;-30,765194;"actuator_member";"ngram";1;"#BAC983";"ACTUATOR MEMBER"
"118";43;-38,02638;4,7508326;"actuator_position";"ngram";1;"#BAF0DE";"ACTUATOR POSITION"
"119";42;-51,476738;-24,802046;"actuator_ring";"ngram";1;"#BAABB3";"ACTUATOR RING"
"120";8;-46,159374;-4,966001;"actuator_structure";"ngram";1;"#FF69B4";"ACTUATOR STRUCTURE"
"121";11;3,7921417;82,48255;"ad_hoc_communication_network";"ngram";1;"#A500E1";"AD HOC COMMUNICATION NETWORK"
"122";11;0,09776966;74,53911;"ad_hoc_wireless_network";"ngram";1;"#A500E1";"AD HOC WIRELESS NETWORK"
"123";36;-26,556894;-19,83974;"adapter_member";"ngram";1;"#BAFA01";"ADAPTER MEMBER"
"124";8;-30,998016;-10,042928;"adapter_plate";"ngram";1;"#FF69B4";"ADAPTER PLATE"
"125";29;44,612526;56,293793;"adaptive_noise_cancellation_system";"ngram";1;"#BB7C64";"ADAPTIVE NOISE CANCELLATION SYSTEM"
"126";44;29,350124;65,43675;"adaptive_time";"ngram";1;"#BA215C";"ADAPTIVE TIME"
"127";9;30,78945;51,26913;"addition_signal";"ngram";1;"#008080";"ADDITION SIGNAL"
"128";12;-25,726305;56,347755;"additional_attribute";"ngram";1;"#A020F0";"ADDITIONAL ATTRIBUTE"
"129";28;-53,04356;-45,061573;"additional_blade";"ngram";1;"#BB3739";"ADDITIONAL BLADE"
"130";37;14,345761;-66,76146;"additional_heat_exchanger";"ngram";1;"#BA3F2C";"ADDITIONAL HEAT EXCHANGER"
"131";23;-16,065254;65,33048;"additional_information";"ngram";1;"#BBF20D";"ADDITIONAL INFORMATION"
"132";10;24,160654;-60,333443;"additional_liquid";"ngram";1;"#E100A5";"ADDITIONAL LIQUID"
"133";20;15,113137;-23,332462;"additional_structural_integrity";"ngram";1;"#BB10DD";"ADDITIONAL STRUCTURAL INTEGRITY"
"134";5;-61,274944;18,804375;"additional_thrust";"ngram";1;"#00E1E1";"ADDITIONAL THRUST"
"135";7;39,299458;-34,05032;"additive_manufacturing";"ngram";1;"#E19239";"ADDITIVE MANUFACTURING"
"136";30;46,765915;-19,279022;"additive_manufacturing_apparatus";"ngram";1;"#BA70AA";"ADDITIVE MANUFACTURING APPARATUS"
